DATAFLOW,LAST UPDATE,freq,currency,estruct,ecase,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2023,71232.23,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Belgium,2024,73736.60,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2008,10193.09,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2009,11544.55,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2010,12526.28,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2011,13285.54,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2012,14075.71,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2013,14856.47,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2014,15778.34,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2015,16973.00,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2016,18341.69,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2017,20077.22,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2018,21306.86,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2019,23833.45,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2020,25866.52,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2021,29167.54,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2022,33519.23,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2023,38687.26,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Bulgaria,2024,43316.66,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2000,75146.25,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2001,79469.08,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2002,83539.94,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2003,81897.17,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2004,82032.12,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2005,82648.62,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2006,82755.55,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2007,81467.52,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2008,85039.51,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2009,90037.91,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2010,99787.73,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2011,112724.73,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2012,120262.78,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2013,118967.40,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2014,116383.62,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2015,132024.19,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2016,132728.80,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2017,130618.17,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2018,127023.92,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2019,133867.59,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2020,141110.42,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2021,144261.73,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2022,153585.59,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2023,160691.66,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Switzerland,2024,167666.42,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2005,31183.49,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2006,33315.97,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2007,35144.26,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2014,38192.93,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2017,39062.44,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2018,40053.77,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2019,40565.51,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2020,40113.60,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2021,40918.05,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2022,44012.72,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2023,46953.50,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Cyprus,2024,48460.01,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2000,7007.47,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2001,7921.52,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2002,9353.22,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2003,9443.01,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2004,9998.06,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2005,11174.74,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2006,12789.06,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2007,13924.69,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2008,16691.82,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2009,16480.18,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2010,17665.93,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2011,18563.24,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2012,18622.88,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2013,17947.59,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2014,17389.91,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2015,18034.49,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2016,18893.51,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2017,20526.59,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2018,22512.67,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2019,23985.36,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2020,23948.80,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2021,27939.48,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2022,31406.09,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2023,34531.20,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Czechia,2024,34581.99,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2000,39076.76,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2001,40813.05,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2002,41743.46,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2003,42134.43,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2004,43985.12,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2005,44726.19,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2006,45009.70,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2007,46389.35,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2008,47683.01,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2009,47741.30,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2010,50748.12,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2011,52176.08,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2012,53459.23,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2013,54342.03,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2014,55582.84,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2015,56821.41,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2016,57972.64,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2017,58937.26,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2018,60839.74,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2019,62972.52,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2020,62588.00,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2021,65700.40,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2022,71193.47,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2023,75816.81,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Germany,2024,79188.27,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2000,44251.89,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2001,46536.70,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2002,48879.66,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2003,50307.99,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2004,52235.22,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2005,52880.67,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2006,54486.98,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2007,56939.15,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2008,59191.78,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2009,61924.13,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2010,64698.32,,
ESTAT:EARN_NT_NET(1.0),09/02/26 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",Denmark,2011,66306.87,,
