DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,1994,3220310,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,1995,3248836,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,1996,3283000,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,1997,3324317,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,1998,3354341,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,1999,3373445,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2000,3058497,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2001,3063318,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2002,3057018,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2003,3044993,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2004,3034231,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2005,3019634,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2006,3003329,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2007,2981755,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2008,2958266,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2009,2936355,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2010,2918674,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2011,2907361,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2012,2903008,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2013,2897770,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2014,2892394,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2015,2885796,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2016,2875592,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2017,2876591,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2018,2870324,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2019,2862427,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2020,2845955,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2021,2829741,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2022,2793592,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2023,2761785,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Albania,2025,2363314,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2000,3226900,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2001,3215300,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2002,3212900,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2003,3210300,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2004,3212200,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2005,3215800,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2006,3219234,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2007,3222953,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2008,3230086,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2009,3237976,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2010,3249482,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2011,3262650,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2012,3274285,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2015,3010598,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2016,2998577,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2017,2986151,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2018,2972732,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2019,2965269,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2020,2959694,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2021,2963251,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2023,2977130,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Armenia,2024,2991201,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,1990,7644818,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,1991,7710882,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,1992,7798899,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,1993,7882519,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,1994,7928746,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,1995,7943489,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,1996,7953067,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,1997,7964966,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,1998,7971116,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,1999,7982461,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2000,8002186,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2001,8020946,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2002,8063640,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2003,8100273,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2004,8142573,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2005,8201359,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2006,8254298,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2007,8282984,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2008,8307989,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2009,8335003,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2010,8351643,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2011,8375164,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2012,8408121,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2013,8451860,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2014,8507786,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2015,8584926,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2016,8700471,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2017,8772865,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2018,8822267,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2019,8858775,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2020,8901064,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2021,8932664,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2022,8978929,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2023,9104772,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2024,9158750,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Austria,2025,9197213,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2000,8016200,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2001,8081000,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2002,8141400,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2003,8202500,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2004,8265700,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2005,8347300,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2006,8436400,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2007,8532700,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2008,8629900,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2009,8896900,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2010,8997586,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2011,9111078,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2012,9235085,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2013,9356483,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2014,9477119,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2015,9593038,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2016,9705643,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2017,9809981,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2018,9898085,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2019,9981457,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2020,10067108,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2021,10119133,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2022,10156366,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2023,10127145,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2024,10180770,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Azerbaijan,2025,10224889,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1990,4499203,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1991,4517921,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1997,3727439,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,1998,3549736,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2000,3753085,e,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2001,3789717,e,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2002,3813167,e,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2003,3830349,e,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2004,3837414,e,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2005,3842532,e,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2006,3842650,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2007,3844017,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2008,3843846,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2009,3843998,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2010,3844046,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2011,3843183,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bosnia and Herzegovina,2012,3839265,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,1990,9947782,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,1991,9986975,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,1992,10021997,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,1993,10068319,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,1994,10100631,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,1995,10130574,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,1996,10143047,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,1997,10170226,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,1998,10192264,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,1999,10213752,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2000,10239085,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2001,10263414,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2002,10309725,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2003,10355844,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2004,10396421,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2005,10445852,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2006,10511382,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2007,10584534,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2008,10666866,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2009,10753080,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2010,10839905,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2011,11000638,b,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2012,11075889,b,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2013,11137974,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2014,11180840,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2015,11237274,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2016,11311117,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2017,11351727,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2018,11398589,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2019,11455519,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2020,11522440,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2021,11554767,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2022,11617623,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2023,11742796,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2024,11817096,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Belgium,2025,11883495,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,1990,8767308,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,1991,8669269,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,1992,8595465,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,1993,8484863,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,1994,8459763,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,1995,8427418,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,1996,8384715,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,1997,8340936,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,1998,8283200,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,1999,8230371,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2000,8190876,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2001,8149468,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2002,7868815,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2003,7805506,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2004,7745147,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2005,7688573,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2006,7629371,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2007,7572673,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2008,7518002,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2009,7467119,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2010,7421766,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2011,7369431,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2012,7327224,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2013,7202556,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2014,7117453,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2015,7029690,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2016,6938759,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2017,6849518,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2018,6757418,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2019,6664177,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2020,6569275,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2021,6532117,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2022,6482484,,
ESTAT:DEMO_PJAN(1.0),13/02/26 11:00:00,Annual,Number,Total,Total,Bulgaria,2023,6447710,,
