DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,aircraft,rep_airp,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2014-12,271,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-01,238,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-02,270,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-03,136,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-04,180,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-05,188,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-06,293,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-07,288,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-08,280,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-09,263,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-10,202,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-11,160,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2015-12,162,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-01,164,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-02,148,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-03,168,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-04,194,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-05,196,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-06,231,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-07,255,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-08,250,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-09,478,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-10,212,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-11,134,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2016-12,151,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-01,170,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-02,130,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-03,156,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-04,186,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-05,214,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-06,242,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-07,239,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-08,242,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-09,244,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-10,215,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-11,199,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2017-12,201,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-01,205,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-02,190,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-03,218,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-04,252,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-05,251,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-06,302,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-07,306,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-08,330,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-09,282,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-10,250,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-11,236,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2018-12,238,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-01,264,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-02,208,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-03,233,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-04,260,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-05,360,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-06,347,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-07,354,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-08,345,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-09,331,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-10,310,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-11,300,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2019-12,303,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2020-01,350,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2020-02,336,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2020-03,166,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2020-05,14,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2020-06,64,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2020-07,193,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2020-08,244,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2020-09,305,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2020-10,267,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2020-11,66,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2020-12,36,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-01,24,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-02,15,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-03,31,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-04,49,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-05,63,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-06,158,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-07,187,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-08,226,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-09,186,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-10,191,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-11,221,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2021-12,187,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-01,149,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-02,109,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-03,198,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-04,169,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-05,211,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-06,253,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-07,277,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-08,290,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-09,254,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-10,240,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-11,221,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2022-12,226,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2023-01,219,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2023-02,202,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2023-03,229,,
ESTAT:AVIA_TF_ACA(1.0),25/02/26 23:00:00,Monthly,Flight,Commercial passenger air flights,Total transport,Total,BYDGOSZCZ/SZWEDEROWO airport,2023-04,220,,
